epoch,critic_loss,critic_classification_loss,critic_real_accuracy,generator_loss,generator_classification_loss,generator_internal_accuracy,wasserstein_estimate,real_score,fake_score,epsilon,delta,noise_multiplier,clip_boundary_fraction,critic_updates,generator_updates,duration_seconds
1,2.30186648816188,2.30186728119596,0.11225127702010974,4.605111317756848,2.302567419333336,0.1032505917052428,7.899111588368876e-05,0.0024150673148365244,0.0023360761989809544,3.4362638999054074,1e-05,0.576934814453125,0.016105223332943886,469,156,20.442874431610107
2,2.3007949176373512,2.300796400001054,0.11187506122375603,4.60510171071077,2.3025630024763255,0.10020280256867409,0.0001478646413983106,0.0025815414529152788,0.002433676811516968,3.738153012449989,1e-05,0.576934814453125,0.009116512659371996,469,156,19.844019412994385
3,2.298213705579355,2.2982163942698985,0.1134480003481989,4.5996307445939175,2.2998160890712858,0.09973679808009962,0.0002688740812461582,0.0004054107143612345,0.00013653663294024338,3.968005021541648,1e-05,0.576934814453125,0.008067328302358205,469,157,20.04705309867859
4,2.282209036955193,2.2822079897435237,0.12151368361101476,4.542088016485557,2.271050124596327,0.15883432512577528,-0.0001051343976070599,0.0011031077075719733,0.001208242105416103,4.16714741609341,1e-05,0.576934814453125,0.007922971132661119,469,156,19.797010898590088
5,2.1767993136001293,2.176826859333876,0.4122141392659277,4.091480799210378,2.045774620312911,0.6823706667010601,0.002754623396272487,0.009467412407613241,0.0067127890107202045,4.342834842395251,1e-05,0.576934814453125,0.00868631509572779,469,156,19.405179023742676
6,1.859215491107786,1.8593861487374377,0.6227809781077575,2.725782649532245,1.3630922763210953,0.8872936064270651,0.017065655366618877,0.05775015233263278,0.04068449696402814,4.505803582901184,1e-05,0.576934814453125,0.009347359552136184,469,157,20.087151288986206
7,1.455806843253341,1.4563491369869663,0.6686353046756818,1.2765805900861056,0.6389041269818941,0.9639973927002686,0.05422932162150137,0.17682709640213676,0.12259777478063538,4.655111014770733,1e-05,0.576934814453125,0.009330285479238903,469,156,19.233588218688965
8,1.1643965330713593,1.1655060430325426,0.6834548075061871,0.5428716973998607,0.2728071464942052,0.9999999900658926,0.11095077098051367,0.3822741240961974,0.2713233531156837,4.80441844664028,1e-05,0.576934814453125,0.008977323657667659,469,156,19.172799587249756
9,0.9922079882387922,0.9938003095482458,0.6983626111229854,0.25535466251479594,0.13001768955379533,0.9999999893698722,0.1592322690273399,0.6266435283714774,0.4674112593441376,4.9367267259968175,1e-05,0.576934814453125,0.008488907113293746,469,157,19.396669149398804
10,0.8894947128001053,0.8911104779253637,0.7078652857209066,0.12002750447927377,0.06394331499886437,0.9999999900658926,0.16157671523246683,0.9452514318006633,0.7836747165681965,5.066630499777716,1e-05,0.576934814453125,0.008243551729833935,469,156,19.403998374938965
11,0.8351037118480658,0.8357220476370122,0.7180547080060312,0.05131765735001327,0.031903364934409276,0.9999999908300546,0.0618335569082801,1.304944608511447,1.2431110516031667,5.196534273558615,1e-05,0.576934814453125,0.007962281279183506,469,156,19.76254415512085
12,0.8105307209974667,0.8104289343107992,0.7248167787025224,0.016800277136788246,0.0176065081706757,0.9999999908884619,-0.010178511839177309,1.8301029505251822,1.8402814623643595,5.32061868192676,1e-05,0.576934814453125,0.007741937238557311,469,157,21.59788465499878
13,0.784291387875197,0.7847406432064358,0.7373139773096357,-0.006476178293665633,0.009370262224155549,0.9999999919762979,0.044925405526720384,2.5622254643104734,2.5173000587837526,5.43576697600731,1e-05,0.576934814453125,0.007504608550375005,469,156,22.85784411430359
14,0.774185521643299,0.7747015732564906,0.7461969393656961,-0.020364939641111936,0.005070313909807458,0.9999999919762979,0.05160514479761184,3.0913916711868255,3.0397865263892134,5.550915270087859,1e-05,0.576934814453125,0.007265340257379205,469,156,22.269635438919067
15,0.7572976580179577,0.757359212713201,0.7571335428559196,-0.025871081882791153,0.003273645190486483,0.9999999924070516,0.006155454273671229,3.2543866207350547,3.2482311664613834,5.666063564168408,1e-05,0.576934814453125,0.00703767875693989,469,157,21.675437450408936
16,0.7396850953859561,0.7391838412930463,0.7681341569052577,-0.026990285238776453,0.0020588079716664,0.9999999904479736,-0.050125286269035424,3.0657971108646027,3.1159223971336383,5.781211858248958,1e-05,0.576934814453125,0.006839968578525363,469,156,21.87642526626587
17,0.737905767744284,0.7371907539205003,0.7756314347547762,-0.023562646196343195,0.0012853836520569017,0.9999999904479736,-0.07150132213828406,2.540273441688847,2.611774763827131,5.886152023864925,1e-05,0.576934814453125,0.006684602840967846,469,156,31.748449087142944
18,0.7257019343660839,0.7251585861767279,0.7803531436523649,-0.018302090691438146,0.0008313843917774902,0.9999999855733981,-0.0543348097852044,1.9413627652979608,1.9956975750831654,5.989719219597084,1e-05,0.576934814453125,0.006618283157781733,469,157,35.47162127494812
19,0.6963583644646317,0.6961158647466061,0.791659585067204,-0.012760991899248881,0.0005216482293177157,0.9999999927404599,-0.024249948164039074,1.3605966717957942,1.3848466199598333,6.093286415329242,1e-05,0.576934814453125,0.00657000272445094,469,156,35.42211961746216
20,0.7057866683519726,0.705622801267262,0.7935632479978777,-0.010009262609319428,0.00035966935637332377,0.9999999870092441,-0.016386681782411358,1.0582687642528559,1.0746554460352673,6.1968536110614005,1e-05,0.576934814453125,0.006445849514591844,469,156,38.53216314315796
21,0.6919900774320306,0.6918488775234996,0.8013206818210545,-0.007714404359720884,0.00025188520452108494,0.9999999878512826,-0.014119964672812521,0.8077845676367217,0.8219045323095342,6.300420806793559,1e-05,0.576934814453125,0.006369865727295185,469,157,33.681079387664795
22,0.6736752775305116,0.673623768950322,0.8068378942607562,-0.00651578195930387,0.00019026116970986224,0.9999999908300546,-0.005150679967550835,0.6846360039355149,0.6897866839030659,6.402301483734498,1e-05,0.576934814453125,0.006290252504600288,469,156,36.0097599029541
23,0.663872231743229,0.663899115725621,0.8099785769926205,-0.004493784054946632,0.0001488416744858767,0.9999999881554873,0.0026883327249270766,0.4847651695264682,0.4820768368015411,6.496508388648185,1e-05,0.576934814453125,0.006229763970384497,469,156,37.04469060897827
24,0.6654430342508532,0.6655235097352376,0.8118706848829794,-0.0031153468643522757,0.00011143893789267167,0.9999999893698722,0.008047523370175473,0.34215226626472434,0.33410474289454883,6.590715293561873,1e-05,0.576934814453125,0.006102487040849595,469,157,35.301596879959106
25,0.6499772892831993,0.6500671010917184,0.8172128891894049,-0.002404107385350821,9.254225080486578e-05,0.9999999900658926,0.008981100372922445,0.26938813117775584,0.26040703080483335,6.68492219847556,1e-05,0.576934814453125,0.006070303168928193,469,156,36.96579599380493
26,0.6652627605746295,0.6653545368581947,0.8171706494492,-0.001953958118041882,8.098181206150912e-05,0.9999999923583789,0.009177518027550631,0.2235919845574446,0.214414466529894,6.779129103389247,1e-05,0.576934814453125,0.006003480853652086,469,156,35.811827182769775
27,0.661267878849115,0.6613615856750179,0.8198339747213351,-0.002206293093396505,7.7888073053383e-05,0.9999999905088145,0.009370762529149493,0.24756097901604576,0.23819021648689628,6.873336008302934,1e-05,0.576934814453125,0.005955114078612595,469,157,37.4701714515686
28,0.6535068242026291,0.6535775198229848,0.8254885937867642,-0.0021270043074857825,7.668006130701635e-05,0.9999999900658926,0.007069460364547112,0.2349959325942912,0.22792647222974408,6.9675429132166204,1e-05,0.576934814453125,0.005930571447911974,469,156,34.80008101463318
29,0.640082993169329,0.6401540889287554,0.8259937484889651,-0.002349901092925276,6.761889350552035e-05,0.9999999915942167,0.0071095942751939365,0.2573822713864129,0.250272677111219,7.060794826154112,1e-05,0.576934814453125,0.0058330238188651655,469,156,34.15301489830017
30,0.644193890061714,0.644277154191979,0.8259139293546616,-0.00196278022949222,6.151263976349513e-05,0.9999999924070516,0.008326398808437625,0.2184209292377236,0.21009453042928597,7.147231965589976,1e-05,0.576934814453125,0.005806871532023595,469,157,36.105815410614014
31,0.6551219841945909,0.6552215681782664,0.8284238894611026,-0.0019046438903434393,5.6225396549099314e-05,0.9999999896838114,0.009958507568597286,0.2108490814977109,0.2008905739291136,7.23366910502584,1e-05,0.576934814453125,0.005752729113397951,469,156,34.92729425430298
