epoch,critic_loss,generator_loss,wasserstein_estimate,clip_boundary_fraction,epsilon,duration_seconds
1,-0.0067591661911295805,-0.0009511361820235228,0.0067591661911295805,0.04919821259662739,0.2570566436251806,2.872180461883545
2,-0.007964823982151955,-0.0031709256737182537,0.007964823982151955,0.020263283212107387,0.35625744464200054,2.702033281326294
3,-0.008146976211877622,-0.005387502897065133,0.008146976211877622,0.016534264000782804,0.4358009700975798,1.9604239463806152
4,-0.007030899919893431,-0.008962928379575411,0.007030899919893431,0.014582993574480575,0.5038026196552732,1.952831506729126
5,-0.005244258993669697,-0.01214617354174455,0.005244258993669697,0.013438403079030626,0.5643406944353697,2.418851613998413
6,-0.00273704814279209,-0.015505397692322731,0.00273704814279209,0.012844515476695259,0.6195830225043873,1.8458902835845947
7,0.00023745879044999248,-0.018467588101824126,-0.00023745879044999248,0.012178218467660392,0.6707777322341459,1.9791193008422852
8,0.0010601015478048635,-0.01773223193983237,-0.0010601015478048635,0.011654391858834275,0.7188055388790188,1.863781213760376
9,0.0012503179883503396,-0.0151086620753631,-0.0012503179883503396,0.01124289768094197,0.7640419267483726,2.0706379413604736
10,0.001365921925753355,-0.013932795201738676,-0.001365921925753355,0.01083779640562315,0.8071983241370542,2.16567063331604
11,0.0018943022815105708,-0.014353626469771067,-0.0018943022815105708,0.01038859714928732,0.8482201534031133,1.8712267875671387
12,0.002492073801872523,-0.01361544121755287,-0.002492073801872523,0.010196549137284322,0.887518057910041,1.889986276626587
13,0.002460876257037339,-0.013179285079240799,-0.002460876257037339,0.01009582830490231,0.9257421721203493,1.8350510597229004
14,0.0020977699845705342,-0.011893494551380475,-0.0020977699845705342,0.00967728888743925,0.9623338293794036,1.6605088710784912
15,0.0018125738361445458,-0.010255374771077186,-0.0018125738361445458,0.009413614273133501,0.9979599858848112,1.8180723190307617
16,0.0021104059364322734,-0.009138957845667999,-0.0021104059364322734,0.009290974917642456,1.032366825894419,1.9356698989868164
17,0.0023041506115671086,-0.010215368308126926,-0.0023041506115671086,0.00913950226687107,1.066259222233374,1.8445103168487549
18,0.002229616481243916,-0.009891043358948082,-0.002229616481243916,0.009005512247627124,1.0985009061856632,1.8947646617889404
19,0.002006247123379422,-0.008176787259678046,-0.002006247123379422,0.008922926383769857,1.1307425901379524,1.6958811283111572
20,0.0015107096253853777,-0.006491291802376509,-0.0015107096253853777,0.0087574937212564,1.1618431074674402,1.8020880222320557
21,0.0009875375898959844,-0.005703060160158202,-0.0009875375898959844,0.008556182523891842,1.1919389233299167,1.7818548679351807
22,0.0008752851585007232,-0.006762638439734777,-0.0008752851585007232,0.008435369711993214,1.2220347391923936,1.7952566146850586
23,0.0013294111552607753,-0.007600737145791451,-0.0013294111552607753,0.008271241723474347,1.2517813724482647,1.7875876426696777
24,0.001771128625082581,-0.009578042780049145,-0.001771128625082581,0.008191134740206793,1.27975024651004,1.7977869510650635
25,0.0027704119540589013,-0.010374218846360842,-0.0027704119540589013,0.007925633582308623,1.3077191205718157,1.9092433452606201
26,0.0021146544781715975,-0.008196515496820211,-0.0021146544781715975,0.007873577089924656,1.3356879946335911,1.8008008003234863
27,0.0019109767922402723,-0.007186313800048083,-0.0019109767922402723,0.007932026484882091,1.3636568686953667,1.7275512218475342
28,0.002260587269278324,-0.007305958773940802,-0.002260587269278324,0.0078948432760364,1.38971618932507,1.8048758506774902
29,0.0016707553042341833,-0.007011261365065972,-0.0016707553042341833,0.007835480609282755,1.4155766972312445,1.6747794151306152
30,0.0011084242015267196,-0.0072331209667027,-0.0011084242015267196,0.007655696532828859,1.4414372051374187,1.8073067665100098
31,0.0008956235428543195,-0.007525769186516603,-0.0008956235428543195,0.007509051175837435,1.4672977130435931,1.646327257156372
32,0.0016696528511364822,-0.008621501798431078,-0.0016696528511364822,0.0075479304608760895,1.4931582209497676,1.724017858505249
33,0.0018578522494467704,-0.008581643633078784,-0.0018578522494467704,0.007413027169835937,1.5181400572523278,1.912670373916626
