epoch,critic_loss,generator_loss,wasserstein_estimate,clip_boundary_fraction,epsilon,duration_seconds
1,-0.01580081859846478,-0.0028162146903923714,0.01580081859846478,0.05062265566391599,1.875623967211905,2.3249688148498535
2,-0.027216386090478172,-0.01535233606894811,0.027216386090478172,0.023369842460615155,2.158820276672568,1.7908082008361816
3,-0.0317086990436782,-0.0393999480875209,0.0317086990436782,0.02075671091685964,2.3972842022969023,1.6759111881256104
4,-0.029569412622114887,-0.07587123091022173,0.029569412622114887,0.019162790697674417,2.61229401212466,1.8571512699127197
5,-0.019402429947386616,-0.11068525264660517,0.019402429947386616,0.017377213868684557,2.81072675909018,2.0024476051330566
6,-0.011424275520055191,-0.1292168223299086,0.011424275520055191,0.015844613327244853,2.998029652178636,2.122058391571045
7,-0.009596551566020302,-0.12940705418586732,0.009596551566020302,0.015159529012687953,3.1746687531538287,2.3990280628204346
8,-0.009564510344163231,-0.12588192870219547,0.009564510344163231,0.014250562640660165,3.3436157607016894,2.6847198009490967
9,-0.007784462007491485,-0.10987382847815752,0.007784462007491485,0.0134951563977951,3.5058986724623784,2.694453716278076
10,-0.007586038307003353,-0.10836904694636663,0.007586038307003353,0.01311353925437881,3.662338217997733,2.281108856201172
11,-0.007838669354500978,-0.10402993460496267,0.007838669354500978,0.012600410972308294,3.8136566192305614,1.9550726413726807
12,-0.006574885838705561,-0.10645522177219391,0.006574885838705561,0.012376528914837408,3.960507724651512,1.9846172332763672
13,-0.0025090063395707502,-0.10581033726533254,0.0025090063395707502,0.011480609282755471,4.102822673637486,1.9751620292663574
14,0.00036626600700875986,-0.11223733127117157,-0.00036626600700875986,0.010425258488535179,4.240978587854566,1.579925775527954
15,-0.0014041279969008072,-0.09848736319690943,0.0014041279969008072,0.010256303206236342,4.376064488835864,1.5963292121887207
16,-0.0024074155675328297,-0.0905245989561081,0.0024074155675328297,0.010280048272937796,4.508625322273617,2.011988639831543
17,-0.0005153090409610583,-0.10185290525356928,0.0005153090409610583,0.009867379888450373,4.637032426761823,2.053788185119629
18,-0.003806871969414794,-0.07452585222199559,0.003806871969414794,0.009831370886199809,4.763338659548578,1.9785969257354736
19,-0.0043703052012816716,-0.09230421930551529,0.0043703052012816716,0.009609315372321339,4.887468148156887,1.881338119506836
20,-0.0013507322772689488,-0.07929638624191285,0.0013507322772689488,0.00927505789490851,5.008379950145769,2.5886495113372803
21,-0.0022618195608906126,-0.08096188073977828,0.0022618195608906126,0.009135457777487851,5.12838112523576,1.9833292961120605
22,-0.003597995023364606,-0.07082983354727428,0.003597995023364606,0.00913284842949868,5.244740160388576,1.76967453956604
23,-0.0032827607963396154,-0.0685724233587583,0.0032827607963396154,0.009282494536677646,5.360748376871228,1.806105613708496
24,-0.0015970628870570142,-0.07821493316441774,0.0015970628870570142,0.009110538504191268,5.473395602255316,1.779733419418335
25,0.0014672131965989652,-0.0800533726811409,-0.0014672131965989652,0.008498254998532241,5.585534244605331,1.886554479598999
26,-0.0017478959229977234,-0.0689865027864774,0.0017478959229977234,0.00841606053687335,5.695326486241889,1.8356776237487793
27,-0.005242599498318589,-0.06336210831068456,0.005242599498318589,0.008730095567370103,5.803708598090937,1.7835636138916016
28,-0.0009748485425244207,-0.05956023285786311,0.0009748485425244207,0.008313513160898919,5.911534786657976,1.772526741027832
