epoch,loss,reconstruction_loss,kl_loss,beta,epsilon,duration_seconds
1,0.48365622993785556,0.4778025473695712,0.936589298140899,0.00625,2.160798126485542,4.8189849853515625
2,0.2893502005990178,0.28230871591670575,0.5633188494851163,0.0125,2.486145235199811,3.1956675052642822
3,0.2619967795054553,0.25714652374351105,0.25868036255133386,0.018750000000000003,2.7561659272186727,3.777104139328003
4,0.2506722683477023,0.24542823554253848,0.20976125837399867,0.025,2.9970376733228985,2.8200461864471436
5,0.24610610406763336,0.24031371376374092,0.1853565378419854,0.03125,3.219376984147336,3.1542253494262695
6,0.24049818511645552,0.23389956244562898,0.17596326725528394,0.037500000000000006,3.427905461088009,3.2202792167663574
7,0.23941052105962013,0.23178984908019604,0.1741867905571347,0.043750000000000004,3.6250617184735354,2.9741482734680176
8,0.23773575256021884,0.22970970044779712,0.1605210171258154,0.05,3.8127621766057334,3.0638115406036377
9,0.2359079187976571,0.22786433099593048,0.16087176118865848,0.05,3.9925594885075766,2.4121460914611816
10,0.23386840527998534,0.22570069170228524,0.16335423024876722,0.05,4.165753875884737,2.565462112426758
11,0.23165029574663212,0.22322918362087674,0.16842225457868004,0.05,4.333472690199042,2.5461809635162354
12,0.2315271139476495,0.222792391982629,0.17469448439766536,0.05,4.496728498971214,2.163654088973999
13,0.22945240127343833,0.2206696154201162,0.1756557267566135,0.05,4.65409283652332,2.082740068435669
14,0.228004280877081,0.2192816863713465,0.1744519612844149,0.05,4.80753218604769,2.1950011253356934
15,0.22699709947245,0.21796551348326507,0.18063174388555997,0.05,4.95860167092465,2.7326159477233887
16,0.22664272026022617,0.21723273305187127,0.1881998035870813,0.05,5.103795407321711,2.2138819694519043
17,0.2250972098837411,0.21569270264283885,0.18809019992499024,0.05,5.247851279571516,2.3726227283477783
18,0.22365336897192437,0.2140933863822471,0.19119964004195392,0.05,5.387290085536509,2.1322004795074463
19,0.22384575191174882,0.21381380030451164,0.20063902485086754,0.05,5.525638757801974,2.6696560382843018
20,0.22284460658434796,0.21236311121017687,0.20962992722689144,0.05,5.659666851703596,2.6249406337738037
21,0.22127697669343335,0.2108269252930972,0.2090010213166193,0.05,5.793657523214935,2.3094594478607178
22,0.22117388608930505,0.21048738693751765,0.21372997673758626,0.05,5.9225049467569955,2.599390745162964
23,0.21904430761601737,0.20814965727067247,0.21789306143055792,0.05,6.051352370299056,2.1038615703582764
24,0.2196195591725213,0.2084686492484475,0.2230181839017769,0.05,6.1773551933853055,2.379979372024536
25,0.21899509657074215,0.20764972612783997,0.22690746467021827,0.05,6.301228067175506,2.182790756225586
26,0.21759260988123877,0.20606452332257189,0.2305617244775301,0.05,6.425100940965707,2.350442409515381
27,0.21745390567411804,0.20553365166206405,0.23840502687046458,0.05,6.544863201999657,3.0956931114196777
28,0.21603093334256646,0.20377255161514057,0.2451676411380791,0.05,6.663947344672997,2.8259522914886475
29,0.21605709569019768,0.2038608438148901,0.24392506192971894,0.05,6.783031487346336,2.4738378524780273
30,0.21449798496887862,0.20217656317389301,0.24642844207446485,0.05,6.898314089538129,2.0170531272888184
31,0.21413007497949335,0.20165149645989877,0.249571579779724,0.05,7.012777968826532,2.236894130706787
32,0.21362849101820594,0.20102816853900501,0.25200640179392036,0.05,7.127241848114934,2.661212921142578
33,0.21348149222845406,0.2005660332446882,0.2583091571500757,0.05,7.239865136484619,2.881727695465088
34,0.21258390596825982,0.19939646963671745,0.263748730476955,0.05,7.349862292387671,2.402921438217163
35,0.21188839050345315,0.19888403681498246,0.26008710419538705,0.05,7.4598594482907234,2.6699419021606445
36,0.2127288449153261,0.1995600440668845,0.2633760159955298,0.05,7.569856604193776,2.566899061203003
37,0.21180238074690827,0.19813865310740922,0.27327453158293774,0.05,7.677421535867675,2.3914268016815186
38,0.21085711883168293,0.19714981150714164,0.2741461445015865,0.05,7.78309258381089,2.438056230545044
39,0.21075850454521244,0.19672022422616006,0.28076559596193573,0.05,7.888763631754105,2.227581262588501
40,0.21016177964736524,0.1959878622374413,0.2834783915843804,0.05,7.99443467969732,2.6853106021881104
