digit,count,fraction
0,978,0.0978
1,1025,0.1025
2,922,0.0922
3,1222,0.1222
4,959,0.0959
5,881,0.0881
6,1019,0.1019
7,1091,0.1091
8,938,0.0938
9,965,0.0965
