epoch,loss,reconstruction_loss,kl_loss,beta,epsilon,duration_seconds
1,0.271688958101937,0.26340570744367864,1.3253202273875928,0.00625,3.437236709726336,15.94741415977478
2,0.19594777603991712,0.17997723350058087,1.277643475706319,0.0125,3.7923693054799426,15.496930360794067
3,0.19027727797466262,0.17079928668326577,1.038826226209605,0.018750000000000003,4.068918005821415,15.461107969284058
4,0.18679724579252166,0.16524599392545608,0.8620500481965336,0.025,4.310990523122379,15.468028783798218
5,0.18402629035585225,0.16237662087031204,0.6927894323686261,0.03125,4.522638726181461,14.361922264099121
6,0.18186173111328402,0.16080418164870094,0.561534626168848,0.037500000000000006,4.722426007562551,14.350238561630249
7,0.1817392516661132,0.16044671003957314,0.48668667474432326,0.043750000000000004,4.90783717687566,14.833781480789185
8,0.1819093713127561,0.1600341268363258,0.43750488520384073,0.05,5.087977614265143,15.02475118637085
9,0.17948982113830167,0.15786543741613787,0.4324876748226464,0.05,5.253025720802195,15.197208404541016
10,0.17760929850267113,0.15594202028757573,0.43334556794272494,0.05,5.418073827339246,15.553470849990845
11,0.1758833356301195,0.1542293322435229,0.43308007103244694,0.05,5.575709056798582,16.717217922210693
12,0.17431171711230325,0.15246838729392215,0.4368665795100224,0.05,5.724515411692983,19.678524255752563
13,0.17347421506890995,0.15135590469556667,0.4423662172572691,0.05,5.8733217665873845,44.67058801651001
14,0.17244232508219212,0.15028068690597995,0.443232778604371,0.05,6.022128121481787,44.239561796188354
15,0.17200469146602745,0.14960180511819463,0.44805773164768925,0.05,6.158290810186416,48.382076025009155
16,0.1711954505925891,0.14857408849316375,0.45242723625279085,0.05,6.293809551104295,48.632012605667114
17,0.17052589483011704,0.14780281830150688,0.4544615267717576,0.05,6.4293282920221735,48.515812158584595
18,0.16980511922582206,0.1470314174721001,0.4554740492861313,0.05,6.564847032940052,45.07790803909302
19,0.1694629574897283,0.14650353679775324,0.45918842567374113,0.05,6.6932200494813845,15.17032790184021
20,0.16862879844062312,0.1457363569912744,0.4578488207202815,0.05,6.81761323231549,20.45635437965393
21,0.16835864083163404,0.1454903406062981,0.4573660101952031,0.05,6.942006415149596,48.06784677505493
22,0.16798360801401999,0.14498816186546704,0.4599089238639381,0.05,7.0663995979837,49.02735710144043
23,0.16753685942340768,0.144664407389543,0.457449041689922,0.05,7.190792780817806,48.81643342971802
24,0.16718637430721336,0.14413459242605514,0.4610356293556449,0.05,7.311289415974745,49.180184841156006
25,0.1669844758291795,0.14386984908141207,0.46229252682302074,0.05,7.4261715673689395,48.405218839645386
26,0.1666592271356292,0.1434195354280108,0.4647938521501085,0.05,7.541053718763136,48.271313190460205
27,0.16643495583429493,0.14326953022888997,0.46330853020565577,0.05,7.655935870157331,48.57029962539673
28,0.16615183049912638,0.1428038960650703,0.46695867426123805,0.05,7.770818021551527,48.35745549201965
29,0.1662588809194908,0.14294438755696168,0.4662898683934485,0.05,7.885700172945722,47.766148805618286
30,0.16577240504873206,0.14247849407576033,0.46587824430841746,0.05,7.999701056445725,47.83649921417236
